barcode	clientId	name	mrp	imageUrl
PROD001	C0001	laptop computer	45000.00	https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400
PROD002	C0001	wireless mouse	1200.50	https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400
PROD003	C0002	keyboard mechanical	3500.00	https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=400
PROD004	C0002	monitor 27 inch	25000.00	https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=400
PROD005	C0001	usb cable type c	500.00	https://images.unsplash.com/photo-1583394838336-acd977736f90?w=400
PROD006	C0003	headphones wireless	8000.00	https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400
PROD007	C0003	webcam hd	4500.00	https://images.unsplash.com/photo-1587825147138-346b228a8b0e?w=400
PROD008	C0002	ssd 500gb	6000.00	https://images.unsplash.com/photo-1591488320449-011701bb6704?w=400
PROD009	C0001	ram 16gb ddr4	5500.00	https://images.unsplash.com/photo-1591488320449-011701bb6704?w=400
PROD010	C0003	power bank 20000mah	2500.00	https://images.unsplash.com/photo-1609091834311-0e81689e70e0?w=400
